2022-09-08 09:27:03.579 [background-preinit] INFO  org.hibernate.validator.internal.util.Version : HV000001: Hibernate Validator 6.1.7.Final
2022-09-08 09:27:03.615 [main] INFO  datart.DatartServerApplication : Starting DatartServerApplication using Java 1.8.0_172 on BRUCE with PID 17256 (D:\bosssoft\sjksh\server\target\classes started by BRUCE in D:\bosssoft\sjksh)
2022-09-08 09:27:03.619 [main] INFO  datart.DatartServerApplication : The following profiles are active: config
2022-09-08 09:27:24.173 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-08 09:27:24.173 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data LDAP repositories in DEFAULT mode.
2022-09-08 09:27:24.601 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 416 ms. Found 0 LDAP repository interfaces.
2022-09-08 09:27:24.636 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-08 09:27:24.641 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-08 09:27:24.745 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 71 ms. Found 0 Redis repository interfaces.
2022-09-08 09:27:25.250 [main] INFO  o.j.minidao.auto.MinidaoAutoConfiguration :  ******************* init miniDao config [ begin ] *********************** 
2022-09-08 09:27:25.250 [main] INFO  o.j.minidao.auto.MinidaoAutoConfiguration :  ------ minidao.base-package ------- org.jeecg.modules.jmreport.desreport.dao*
2022-09-08 09:27:25.250 [main] INFO  o.j.minidao.auto.MinidaoAutoConfiguration :  *******************  init miniDao config  [ end ] *********************** 
2022-09-08 09:27:25.316 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDao }
2022-09-08 09:27:25.316 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDataSourceDao }
2022-09-08 09:27:25.316 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDbDao }
2022-09-08 09:27:25.316 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDbFieldDao }
2022-09-08 09:27:25.316 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDbParamDao }
2022-09-08 09:27:25.326 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDictDao }
2022-09-08 09:27:25.326 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportDictItemDao }
2022-09-08 09:27:25.326 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportLinkDao }
2022-09-08 09:27:25.326 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportMapDao }
2022-09-08 09:27:25.326 [main] INFO  o.j.minidao.factory.MiniDaoClassPathMapperScanner : register minidao name is { org.jeecg.modules.jmreport.desreport.dao.JimuReportShareDao }
